"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2022-02-16","'91282CCT6'","NotesBonds",,,"2024-08-15",,,"0.375",,"33135210500",,"0.3950491208777451","0","33135210500",
"2022-02-16","'912828D56'","NotesBonds",,,"2024-08-15",,,"2.375",,"5523000000",,"0.0836834768897647","0","2627000000",
"2022-02-16","'912828YE4'","NotesBonds",,,"2024-08-31",,,"1.25",,"16271084900",,"0.3512444699765334","0","2363000000",
"2022-02-16","'9128282U3'","NotesBonds",,,"2024-08-31",,,"1.875",,"3814618000",,"0.1320959570340345","0","2186000000",
"2022-02-16","'91282CCX7'","NotesBonds",,,"2024-09-15",,,"0.375",,"6274033400",,"0.0977631092272874","0","6274033400",
"2022-02-16","'912828YH7'","NotesBonds",,,"2024-09-30",,,"1.5",,"14277156100",,"0.3154547983426928","0","2430000000",
"2022-02-16","'9128282Y5'","NotesBonds",,,"2024-09-30",,,"2.125",,"9983018900",,"0.3171215752173596","0","1202000000",
"2022-02-16","'91282CDB4'","NotesBonds",,,"2024-10-15",,,"0.625",,"4364016700",,"0.0699764863229428","0","4364016700",
"2022-02-16","'912828YM6'","NotesBonds",,,"2024-10-31",,,"1.5",,"15361566800",,"0.3392074658873134","0","5694000000",
"2022-02-16","'9128283D0'","NotesBonds",,,"2024-10-31",,,"2.25",,"6665383400",,"0.2322393597887679","0","2450000000",
"2022-02-16","'912810ES3'","NotesBonds",,,"2024-11-15",,,"7.5",,"6166100000",,"0.6420237392913614","0","97000000",
"2022-02-16","'91282CDH1'","NotesBonds",,,"2024-11-15",,,"0.75",,"34768526800",,"0.393337641006093","0","34768526800",
"2022-02-16","'912828G38'","NotesBonds",,,"2024-11-15",,,"2.25",,"6728027400",,"0.1018905447037856","0","585000000",
"2022-02-16","'912828YV6'","NotesBonds",,,"2024-11-30",,,"1.5",,"10025921200",,"0.2265491726934715","0","2871000000",
"2022-02-16","'9128283J7'","NotesBonds",,,"2024-11-30",,,"2.125",,"6558409500",,"0.2221724241832111","0","1155000000",
"2022-02-16","'91282CDN8'","NotesBonds",,,"2024-12-15",,,"1",,"7962589300",,"0.1285058016971158","0","7962589300",
"2022-02-16","'912828YY0'","NotesBonds",,,"2024-12-31",,,"1.75",,"13509738400",,"0.3011617596679768","0","910000000",
"2022-02-16","'9128283P3'","NotesBonds",,,"2024-12-31",,,"2.25",,"6524238500",,"0.2060700177328707","0","704000000",
"2022-02-16","'91282CDS7'","NotesBonds",,,"2025-01-15",,,"1.125",,"8343334300",,"0.1382642077170649","0","8343334300",
"2022-02-16","'912828Z52'","NotesBonds",,,"2025-01-31",,,"1.375",,"16177632300",,"0.3576602489637212","0","3169000000",
"2022-02-16","'9128283V0'","NotesBonds",,,"2025-01-31",,,"2.5",,"5911155600",,"0.1840611001003441","0","92000000",
"2022-02-16","'912810ET1'","NotesBonds",,,"2025-02-15",,,"7.625",,"6175500000",,"0.6494257648143844","0","25000000",
"2022-02-16","'91282CDZ1'","NotesBonds",,,"2025-02-15",,,"1.5",,"30248102600",,"0.3769331938598848","30248102600","30248102600",
"2022-02-16","'912828J27'","NotesBonds",,,"2025-02-15",,,"2",,"12684905600",,"0.1922296747240571","0","4359000000",
"2022-02-16","'912828ZC7'","NotesBonds",,,"2025-02-28",,,"1.125",,"14844536100",,"0.3145258438611782","0","7938000000",
"2022-02-16","'9128283Z1'","NotesBonds",,,"2025-02-28",,,"2.75",,"9630052900",,"0.2669815118259338","0","231000000",
"2022-02-16","'912828ZF0'","NotesBonds",,,"2025-03-31",,,"0.5",,"6866274100",,"0.1476228123695539","0","1179000000",
"2022-02-16","'9128284F4'","NotesBonds",,,"2025-03-31",,,"2.625",,"18406556500",,"0.5396536957593409","0","2135000000",
"2022-02-16","'912828ZL7'","NotesBonds",,,"2025-04-30",,,"0.375",,"4827302400",,"0.1032923383514759","0","775000000",
"2022-02-16","'9128284M9'","NotesBonds",,,"2025-04-30",,,"2.875",,"8192467000",,"0.2505227904963664","0","291000000",
"2022-02-16","'912828XB1'","NotesBonds",,,"2025-05-15",,,"2.125",,"15722818600",,"0.2363552073804937","0","2519000000",
"2022-02-16","'912828ZT0'","NotesBonds",,,"2025-05-31",,,"0.25",,"8568231700",,"0.1723149336274621","0","3844000000",
"2022-02-16","'9128284R8'","NotesBonds",,,"2025-05-31",,,"2.875",,"12696354700",,"0.3605730993667424","0","550000000",
"2022-02-16","'912828ZW3'","NotesBonds",,,"2025-06-30",,,"0.25",,"9986298100",,"0.1869099455272035","0","1065000000",
